2.64,3.84397e-08,1.85629e-06,3.00129e-05,8.82586e-18,6.67997e-15,1.94072e-07,20.0211,23.2944,70.4171,86.4006
2.66,3.56813e-08,1.72227e-06,2.78584e-05,9.27872e-18,7.01516e-15,1.93303e-07,20.0252,23.2949,70.4199,86.4215
2.68,3.29977e-08,1.59202e-06,2.57624e-05,9.75539e-18,7.36346e-15,1.92604e-07,20.0291,23.2954,70.4226,86.4416
2.7,3.03932e-08,1.46574e-06,2.37281e-05,1.02569e-17,7.72521e-15,1.91976e-07,20.0329,23.2958,70.4252,86.461
2.72,2.78721e-08,1.34363e-06,2.17589e-05,1.07843e-17,8.10075e-15,1.91419e-07,20.0366,23.2963,70.4277,86.4795
2.74,2.54384e-08,1.2259e-06,1.9858e-05,1.13385e-17,8.49043e-15,1.90931e-07,20.0402,23.2967,70.4301,86.4977
2.76,2.3096e-08,1.11274e-06,1.80285e-05,1.19207e-17,8.89462e-15,1.90513e-07,20.0437,23.2971,70.4324,86.5175
2.78,2.08488e-08,1.00432e-06,1.62733e-05,1.25318e-17,9.31365e-15,1.90166e-07,20.0471,23.2975,70.4346,86.5364
2.8,1.87005e-08,9.00835e-07,1.45953e-05,1.31729e-17,9.74788e-15,1.89888e-07,20.0503,23.2979,70.4367,86.5543
2.82,1.66546e-08,8.02445e-07,1.29973e-05,1.3845e-17,1.01977e-14,1.8968e-07,20.0534,23.2982,70.4387,86.5713
2.84,1.47143e-08,7.09312e-07,1.14819e-05,1.45492e-17,1.06634e-14,1.89542e-07,20.0563,23.2985,70.4406,86.5873
2.86,1.2883e-08,6.21588e-07,1.00514e-05,1.52864e-17,1.11454e-14,1.89473e-07,20.059,23.2988,70.4424,86.6024
2.88,1.11634e-08,5.39418e-07,8.70841e-06,1.60578e-17,1.1644e-14,1.89473e-07,20.0616,23.2991,70.4441,86.6165
2.9,9.55862e-09,4.62937e-07,7.45496e-06,1.68642e-17,1.21597e-14,1.89543e-07,20.0641,23.2994,70.4456,86.6296
2.92,8.07114e-09,3.92269e-07,6.29316e-06,1.77067e-17,1.26927e-14,1.89681e-07,20.0663,23.2996,70.447,86.6418
2.94,6.70344e-09,3.27531e-07,5.22492e-06,1.85871e-17,1.32435e-14,1.89889e-07,20.0684,23.2999,70.4483,86.6529
2.96,5.45779e-09,2.6883e-07,4.25202e-06,1.95061e-17,1.38123e-14,1.90166e-07,20.0703,23.3001,70.4495,86.6631
2.98,4.33627e-09,2.16264e-07,3.37606e-06,2.04635e-17,1.43996e-14,1.90512e-07,20.072,23.3003,70.4506,86.6722
3,3.34073e-09,1.69919e-07,2.59851e-06,2.14665e-17,1.50057e-14,1.90927e-07,20.0735,23.3004,70.4515,86.6804
3.02,2.47285e-09,1.29874e-07,1.92067e-06,2.25227e-17,1.5631e-14,1.9141e-07,20.0748,23.3006,70.4523,86.6876
3.04,1.7341e-09,9.61948e-08,1.34369e-06,2.36337e-17,1.62758e-14,1.91962e-07,20.076,23.3007,70.453,86.6937
3.06,1.12574e-09,6.89393e-08,8.68554e-07,2.48011e-17,1.69405e-14,1.92583e-07,20.077,23.3008,70.4536,86.6989
3.08,6.48813e-10,4.81541e-08,4.9608e-07,2.60267e-17,1.76255e-14,1.93272e-07,20.0777,23.3009,70.4541,86.703
3.1,3.04169e-10,3.38757e-08,2.26928e-07,2.73121e-17,1.83311e-14,1.94029e-07,20.0783,23.301,70.4544,86.7061
3.12,9.24383e-11,2.613e-08,6.15897e-08,2.86589e-17,1.90577e-14,1.94855e-07,20.0787,23.301,70.4546,86.7083
3.14,1.40386e-11,2.49326e-08,3.93366e-10,3.00687e-17,1.98056e-14,1.95749e-07,20.0789,23.301,70.4547,86.7094
3.16,6.91761e-11,3.02884e-08,4.3499e-08,3.15432e-17,2.05752e-14,1.96712e-07,20.0789,23.301,70.4547,86.7095
3.18,2.57843e-10,4.2192e-08,1.909e-07,3.30837e-17,2.13668e-14,1.97742e-07,20.0788,23.301,70.4546,86.7085
3.2,5.79817e-10,6.06273e-08,4.42424e-07,3.46917e-17,2.21809e-14,1.98841e-07,20.0784,23.301,70.4543,86.7066
3.22,1.03466e-09,8.55679e-08,7.9773e-07,3.63687e-17,2.30176e-14,2.00007e-07,20.0778,23.3009,70.4539,86.7036
3.24,1.62173e-09,1.16977e-07,1.25631e-06,3.81159e-17,2.38775e-14,2.01242e-07,20.0771,23.3008,70.4534,86.6997
3.26,2.34017e-09,1.54806e-07,1.8175e-06,3.99345e-17,2.47607e-14,2.02544e-07,20.0761,23.3007,70.4527,86.6947
3.28,3.1889e-09,1.98999e-07,2.48045e-06,4.18256e-17,2.56677e-14,2.03913e-07,20.075,23.3006,70.452,86.6887
3.3,4.16665e-09,2.49488e-07,3.24418e-06,4.37915e-17,2.65988e-14,2.05351e-07,20.0736,23.3005,70.4511,86.6817
3.32,5.27193e-09,3.06193e-07,4.10751e-06,4.58357e-17,2.75543e-14,2.06855e-07,20.0721,23.3003,70.4501,86.6737
3.34,6.50305e-09,3.69029e-07,5.06914e-06,4.79608e-17,2.85345e-14,2.08426e-07,20.0704,23.3001,70.449,86.6647
3.36,7.85811e-09,4.37895e-07,6.12757e-06,5.01682e-17,2.95398e-14,2.10065e-07,20.0686,23.2999,70.4477,86.6547
3.38,9.33503e-09,5.12686e-07,7.28118e-06,5.24591e-17,3.05704e-14,2.1177e-07,20.0665,23.2997,70.4464,86.6437
3.4,1.09315e-08,5.93284e-07,8.52818e-06,5.48344e-17,3.16267e-14,2.13542e-07,20.0643,23.2994,70.4449,86.6317
3.42,1.26451e-08,6.79562e-07,9.86663e-06,5.72952e-17,3.2709e-14,2.15381e-07,20.0619,23.2992,70.4433,86.6187
3.44,1.44731e-08,7.71385e-07,1.12944e-05,5.98422e-17,3.38176e-14,2.17285e-07,20.0593,23.2989,70.4416,86.6047
3.46,1.64127e-08,8.68609e-07,1.28094e-05,6.2476e-17,3.49527e-14,2.19255e-07,20.0565,23.2986,70.4398,86.5898
3.48,1.84608e-08,9.7108e-07,1.44091e-05,6.51969e-17,3.61148e-14,2.21291e-07,20.0536,23.2982,70.4379,86.5739
3.5,2.06142e-08,1.07864e-06,1.60911e-05,6.80051e-17,3.73039e-14,2.23392e-07,20.0506,23.2979,70.4359,86.557
3.52,2.28696e-08,1.19111e-06,1.78528e-05,7.09006e-17,3.85205e-14,2.25558e-07,20.0473,23.2975,70.4338,86.5392
3.54,2.52234e-08,1.30832e-06,1.96913e-05,7.3883e-17,3.97647e-14,2.27788e-07,20.044,23.2972,70.4315,86.5204
3.56,2.76719e-08,1.43009e-06,2.16037e-05,7.69518e-17,4.10368e-14,2.30083e-07,20.0404,23.2968,70.4292,86.5007
3.58,3.02113e-08,1.55621e-06,2.35872e-05,8.01062e-17,4.23372e-14,2.32441e-07,20.0368,23.2963,70.4268,86.4821
3.6,3.28375e-08,1.68649e-06,2.56384e-05,8.3345e-17,4.36659e-14,2.34862e-07,20.0332,23.2959,70.4243,86.4636
